Date,Close/Last,Volume,Open,High,Low
03/31/2021,$122.15,118323800,$121.65,$123.52,$121.15
03/30/2021,$119.9,85671920,$120.11,$120.4031,$118.86
03/29/2021,$121.39,80819200,$121.65,$122.58,$120.7299
03/26/2021,$121.21,94071230,$120.35,$121.48,$118.92
03/25/2021,$120.59,98844680,$119.54,$121.66,$119
03/24/2021,$120.09,88530490,$122.82,$122.9,$120.065
03/23/2021,$122.54,95467140,$123.33,$124.24,$122.14
03/22/2021,$123.39,111912300,$120.33,$123.87,$120.26
03/19/2021,$119.99,185549500,$119.9,$121.43,$119.675
03/18/2021,$120.53,121469800,$122.88,$123.18,$120.32
03/17/2021,$124.76,111932600,$124.05,$125.8599,$122.336
03/16/2021,$125.57,115227900,$125.7,$127.22,$124.715
03/15/2021,$123.99,92590560,$121.41,$124,$120.42
03/12/2021,$121.03,88105050,$120.4,$121.17,$119.16
03/11/2021,$121.96,103026500,$122.54,$123.21,$121.26
03/10/2021,$119.98,111943300,$121.69,$122.17,$119.45
03/09/2021,$121.085,129525800,$119.03,$122.06,$118.79
03/08/2021,$116.36,154376600,$120.93,$121,$116.21
03/05/2021,$121.42,153766600,$120.98,$121.935,$117.57
03/04/2021,$120.13,178155000,$121.75,$123.6,$118.62
03/03/2021,$122.06,112966300,$124.81,$125.71,$121.84
03/02/2021,$125.12,102260900,$128.41,$128.72,$125.01
03/01/2021,$127.79,116307900,$123.75,$127.93,$122.79
